Abdullah A19EE0180 A B A D A C C D A B C D A D C D A B C D
LuDong A19EE0160 A B D D A C B D D B C A A D C D A B C D
Syarifah AC12CS678 A A D C B C D D A B C C A A C D A D C D
Sivarajah AC12CS123 C B C B A C C D B B C C A B C D C C C D
Wendy B19EE0167 A C C D A B C C A A C D A A A D A B C D 
Amirah A23CS0123 B A D C A C C D A B C D A D C D A B C D
TanWei A22CS2345 C B C B A C C D B B C C A B C D C C C D
Prakash B19EE7890 B A D C A C C D A B C D A D C D A B C D
Siti A19BA3456 A B D D A C B D D B C A A D C D A B C D
Michael A19EE0567 A B D D A C B D D B C A A D C D A B C D
Emma AC12CS456 A A D C B C D D A B C C A A C D A D C D
Safiya A19CS0567 A B D D A C B D D B C A A D C D A B C D
Adam AC12EE456 A A D C B C D D A B C C A A C D A D C D
Anwar A12MY8901 B A A C B C D C B B C C A A C D A D C D
MeiLing A12CS3456 C B C B A C C D B B C C A B C D C C C D
